,clickability_test_id,headline,response_synthetic,persona
17,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Zoey Sanders
18,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Susana Morales
19,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Brian Roberts
20,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Nia Washington
21,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Solomon Alexander
22,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Elijah Turner
23,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Javier Sanchez
24,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Virginia Davis
25,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Samara Roberts
26,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Gabriel Gonzalez
27,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",0,Ana Torres
28,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",1,Tyra Parker
29,5501e4f3306130000cac0000,"Children who’d be tossed aside are their mission, but that’s not what SmileTrain tells everyone.",0,Mildred Johnson
30,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Mercedes Vargas
31,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Rosa Diaz
32,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Harper Bennett
33,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,John Johnson
34,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",1,Nia Washington
35,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Jamal Wright
36,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",1,Tyra Parker
37,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Edward Anderson
38,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",0,Jack Coleman
39,5501e4f3306130000cac0000,"Every time some charity asks for your money, ask them if they do it like this.",1,Brandon Harrison
40,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,0,Anthony Ross
41,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Marquis Davis
42,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Marcus Turner
43,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Angela Foster
44,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Eduardo Navarro
45,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,James Foster
46,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Aisha Jenkins
47,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Mark Walker
48,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Ruth Lee
49,5501e4f3306130000cac0000,SmileTrain's not just a wonderful charity. It’s one that’s figured out the secret to surviving.,1,Manuel Gomez
50,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,1,Caleb Thompson
51,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,1,Mariana Soto
52,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Mia Sanchez
53,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Ruth Lee
54,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,1,Amanda Miller
55,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Daniel Rodriguez
56,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Jamar Anderson
57,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Alice Taylor
58,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Carolina Herrera
59,55257f74313437002c100100,This music video beautifully captures a major education problem we have in the world,0,Carlos Rodriguez
60,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Sarah Johnson
61,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Nancy Martinez
62,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",1,Dorothy Rodriguez
63,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",1,Camila Martinez 
64,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Daniel Nelson
65,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",1,John Baker
66,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",1,Aisha Jenkins
67,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Elizabeth Murphy
68,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Evelyn Hughes
69,554018a5393131002c690000,"While Baltimore rioted, these gang members did what no one expected -- tried to keep the peace.",0,Harper Bennett
70,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Henry Roberts
71,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Jack Coleman
72,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Brenda Green
73,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Alejandro Diaz
74,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Sharon Clark
75,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Amos Reed
76,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Patricia Martinez
77,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Ethan Anderson
78,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Margaret Lewis
79,554018a5393131002c690000,"If you want to know how gangs are involved with the riots in Baltimore, just ask them.",0,Rashad Foster
80,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Jamal Smith
81,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Ethan Anderson
82,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,0,Mildred Johnson
83,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Jasmine Davis
84,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Barbara Hughes
85,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Maria Rodriguez
86,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Keenan Brooks
87,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Francisco Garcia
88,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,1,Alejandra Hernandez
89,535a65b2f4a13067da00005c,An Empowering Look At The Ways Media Discriminates Against A Certain Body Type And How Wrong That Is,0,Sofia Herrera
90,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,David Fisher
91,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Daniel Rodriguez
92,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Tomas Silva
93,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Michael Adams
94,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Patricia Diaz
95,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Alice Taylor
96,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Luis Hernandez
97,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Robert Lewis
98,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Carlos Torres
99,535a65b2f4a13067da00005c,Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Ana Torres
100,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,James Foster
101,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Melissa Thompson
102,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Jorge Herrera
103,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Anthony Ross
104,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Deborah Johnson
105,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,0,Daniel Taylor
106,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Elijah Turner
107,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Carmen Morales
108,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Yasmin Foster
109,535a65b2f4a13067da00005c,A Look At All The Ways Pop Culture Discriminates Against A Certain Body Type. How Wrong Is That?,1,Heather Martinez
110,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Paul Lewis
111,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,1,Elizabeth Morgan
112,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Melissa Thompson
113,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,1,Benjamin Hayes
114,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Keisha Johnson
115,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,1,Juana Romero
116,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Beatriz Escobar
117,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,1,Keith Johnson
118,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Ayana Lewis
119,53badaac3d73c5924b000013,This Comedian Strikes A Blow For Non-Racist Idiots. About Time.,0,Keenan Brooks
120,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Andrew Jensen
121,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Desmond White
122,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Rosa Diaz
123,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Laura Pacheco
124,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Carolina Herrera
125,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Carolina Ramirez
126,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Amelia Parker
127,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Alejandro Mendoza
128,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Beatriz Ortega
129,54b6c916393165001eaf0000,What 'I'm Not Into Black Guys' Really Means And Why It's Surprising In One Community,0,Linda Anderson
130,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Darius Brown
131,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Karen Coleman
132,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Angela Foster
133,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Daniel Taylor
134,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Christopher Murphy
135,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Sofia Herrera
136,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Linda Brooks
137,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Lucia Garcia 
138,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Antonio Diaz
139,54b6c916393165001eaf0000,Everyone's Had To Deal With Rejection. But He Wasn't Prepared For Why His Date Didn't Work Out.,0,Tomas Silva
140,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Angela Hill
141,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Dorothy Hayes
142,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Noah Collins
143,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,James Parker
144,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Tomas Jimenez
145,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Carlos Hernandez
146,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Ethel Wilson
147,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Jasmine Davis
148,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,Sandra Reed
149,54b6c916393165001eaf0000,He Shouldn't Have Any Problem Getting Dates. Here's The Disgusting Reason He Can't.,0,David Taylor
150,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Ava Brooks
151,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Linda Brooks
152,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Barbara Wilson
153,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Douglass Adams
154,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Melissa Thompson
155,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,0,Paul Lewis
156,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Maria Rodriguez
157,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Heather Martinez
158,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,1,Sean Brooks
159,54b6c916393165001eaf0000,The Problem With Who You're Dating And Not Dating Based On Stereotypes,0,Andrew Nelson
160,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Margaret Lewis
161,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Ryan Simmons
162,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Amanda Miller
163,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Gabriel Ramirez
164,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Darnell Alexander
165,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Thomas Phillips
166,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Juan Rodriguez
167,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Donna Mitchell
168,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Heather Martinez
169,54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,0,Robert Lewis
170,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Elizabeth Morgan
171,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Barbara Hughes
172,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,0,Jerome Thompson
173,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Guadalupe Jimenez
174,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Ruth Butler
175,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Sofia Castro 
176,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,0,Juan Rodriguez
177,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Sofia Reed
178,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1,Michael Carter
179,5501e4f3306130000cac0000,They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,0,Antonio Diaz
180,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,1,Zaria Adams
181,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,0,Michael Carter
182,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,1,Reginald Davis
183,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,0,Darnell Hayes
184,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,0,Betty Hernandez
185,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,1,Sasha Wright
186,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,0,Tomas Jimenez
187,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,0,Mark Walker
188,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,1,Daniel Rodriguez
189,55257f74313437002c100100,Dropping out of school is a familiar story for millions. This song gives it a unique twist.,1,Michael Adams
190,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,1,Elena Ortiz
191,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,1,Isaiah Washington
192,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,1,Emily Campbell
193,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Sofia Herrera
194,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,1,James Parker
195,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Scarlett Foster
196,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Kenneth Harris
197,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Alejandro Mendoza
198,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Maurice Johnson
199,5237f092acf1799e96001966,One Of The Best Points I've Ever Heard Was Made In A Single Word,0,Alicia Velazquez
200,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Beatriz Escobar
201,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Hugo Torres
202,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Lorena Aguilar
203,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,0,Evelyn Hughes
204,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,0,Karen Coleman
205,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Terrence Roberts
206,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Matthew Thompson
207,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Michael Carter
208,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Antoine Williams
209,5237f092acf1799e96001966,Six Letters And A Period Is All It Takes For A Perfect Counterargument,1,Edward Anderson
210,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Carlos Rodriguez
211,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,1,Sandra Hill
212,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,1,Emily Campbell
213,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Benjamin Bryant
214,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Scarlett Foster
215,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Owen Rogers
216,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Avery James
217,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Juana Romero
218,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Linda Brooks
219,5237f092acf1799e96001966,And Now Presenting: A Perfectly Political Punchline.,0,Josiah Peterson
220,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Benjamin Hayes
221,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Thomas Phillips
222,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,James Foster
223,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",0,Daniel Taylor
224,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",0,Marquis Davis
225,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Douglass Adams
226,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Amos Reed
227,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",0,Joseph Martinez
228,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Solomon Alexander
229,5237f092acf1799e96001966,"What A Way To Disregard A Little Over 12,000 Years Of History, American News",1,Fernando Gonzalez
230,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,0,Mildred Johnson
231,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Latoya Davis
232,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Matthew Thompson
233,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,0,Rodney Watson
234,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Monique Thompson
235,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Alejandra Hernandez
236,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,0,Luisa Morales
237,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Lamar Foster
238,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,LaKeisha Allen
239,52c30946998b389f91000143,Why Forgiving Other People Should Be A Selfish Act,1,Nancy Martinez
240,53349643a4e3ce514800009c,How Much Greater Are Wall Street Bonuses Than The Earnings Of Every Minimum Wage Worker In The US?,0,Andrew Jensen
241,53349643a4e3ce514800009c,How Much Greater Are Wall Street Bonuses Than The Earnings Of Every Minimum Wage Worker In The US?,1,Sofia Castro 
242,53349643a4e3ce514800009c,How Much Greater Are Wall Street Bonuses Than The Earnings Of Every Minimum Wage Worker In The US?,1,Monique Thompson
